it_infinitive,en_infinitive,tense,1s,2s,3s,1p,2p,3p
AVVICINARSI,TO APPROACH,PASSATO PROSSIMO,MI SONO AVVICINATO/A,TI SEI AVVICINATO/A,SI È AVVICINATO/A,CI SIAMO AVVICINATI/E,VI SIETE AVVICINATI/E,SI SONO AVVICINATI/E
AVVICINARSI,TO APPROACH,TRAPASSATO PROSSIMO,MI ERO AVVICINATO/A,TI ERI AVVICINATO/A,SI ERA AVVICINATO/A,CI ERAVAMO AVVICINATI/E,VI ERAVATE AVVICINATI/E,SI ERANO AVVICINATI/E
AVVICINARSI,TO APPROACH,TRAPASSATO REMOTO,MI FUI AVVICINATO/A,TI FOSTI AVVICINATO/A,SI FU AVVICINATO/A,CI FUMMO AVVICINATI/E,VI FOSTE AVVICINATI/E,SI FURONO AVVICINATI/E
AVVICINARSI,TO APPROACH,FUTURO ANTERIORE,MI SARÒ AVVICINATO/A,TI SARAI AVVICINATO/A,SI SARÀ AVVICINATO/A,CI SAREMO AVVICINATI/E,VI SARETE AVVICINATI/E,SI SARANNO AVVICINATI/E
AVVICINARSI,TO APPROACH,PRESENTE CONGIUNTIVO,MI AVVICINI,TI AVVICINI,SI AVVICINI,CI AVVICINIAMO,VI AVVICINIATE,SI AVVICININO
AVVICINARSI,TO APPROACH,IMPERFETTO CONGIUNTIVO,MI AVVICINASSI,TI AVVICINASSI,SI AVVICINASSE,CI AVVICINASSIMO,VI AVVICINASTE,SI AVVICINASSERO
AVVICINARSI,TO APPROACH,PASSATO CONGIUNTIVO,MI SIA AVVICINATO/A,TI SIA AVVICINATO/A,SI SIA AVVICINATO/A,CI SIAMO AVVICINATI/E,VI SIATE AVVICINATI/E,SI SIANO AVVICINATI/E
AVVICINARSI,TO APPROACH,TRAPASSATO CONGIUNTIVO,MI FOSSI AVVICINATO/A,TI FOSSI AVVICINATO/A,SI FOSSE AVVICINATO/A,CI FOSSIMO AVVICINATI/E,VI FOSTE AVVICINATI/E,SI FOSSERO AVVICINATI/E
AVVICINARSI,TO APPROACH,PRESENTE CONDIZIONALE,MI AVVICINEREI,TI AVVICINERESTI,SI AVVICINEREBBE,CI AVVICINEREMMO,VI AVVICINERESTE,SI AVVICINEREBBERO
AVVICINARSI,TO APPROACH,PASSATO CONDIZIONALE,MI SAREI AVVICINATO/A,TI SARESTI AVVICINATO/A,SI SAREBBE AVVICINATO/A,CI SAREMMO AVVICINATI/E,VI SARESTE AVVICINATI/E,SI SAREBBERO AVVICINATI/E
AVVICINARSI,TO APPROACH,IMPERATIVO,,AVVICINATI,SI AVVICINI,AVVICINIAMOCI,AVVICINATEVI,SI AVVICININO
MINACCIARE,TO THREATEN,PRESENTE,MINACCIO,MINACCI,MINACCIA,MINACCIAMO,MINACCIATE,MINACCIANO
MINACCIARE,TO THREATEN,IMPERFETTO,MINACCIAVO,MINACCIAVI,MINACCIAVA,MINACCIAVAMO,MINACCIAVATE,MINACCIAVANO
MINACCIARE,TO THREATEN,PASSATO REMOTO,MINACCIAI,MINACCIASTI,MINACCIÒ,MINACCIAMMO,MINACCIASTE,MINACCIARONO
MINACCIARE,TO THREATEN,FUTURO SEMPLICE,MINACCERÒ,MINACCERAI,MINACCERÀ,MINACCEREMO,MINACCERETE,MINACCERANNO
MINACCIARE,TO THREATEN,PASSATO PROSSIMO,HO MINACCIATO,HAI MINACCIATO,HA MINACCIATO,ABBIAMO MINACCIATO,AVETE MINACCIATO,HANNO MINACCIATO
MINACCIARE,TO THREATEN,TRAPASSATO PROSSIMO,AVEVO MINACCIATO,AVEVI MINACCIATO,AVEVA MINACCIATO,AVEVAMO MINACCIATO,AVEVATE MINACCIATO,AVEVANO MINACCIATO
MINACCIARE,TO THREATEN,TRAPASSATO REMOTO,EBBI MINACCIATO,AVESTI MINACCIATO,EBBE MINACCIATO,AVEMMO MINACCIATO,AVESTE MINACCIATO,EBBERO MINACCIATO
MINACCIARE,TO THREATEN,FUTURO ANTERIORE,AVRÒ MINACCIATO,AVRAI MINACCIATO,AVRÀ MINACCIATO,AVREMO MINACCIATO,AVRETE MINACCIATO,AVRANNO MINACCIATO
MINACCIARE,TO THREATEN,PRESENTE CONGIUNTIVO,MINACCI,MINACCI,MINACCI,MINACCIAMO,MINACCIATE,MINACCINO
MINACCIARE,TO THREATEN,IMPERFETTO CONGIUNTIVO,MINACCIASSI,MINACCIASSI,MINACCIASSE,MINACCIASSIMO,MINACCIASTE,MINACCIASSERO
MINACCIARE,TO THREATEN,PASSATO CONGIUNTIVO,ABBIA MINACCIATO,ABBIA MINACCIATO,ABBIA MINACCIATO,ABBIAMO MINACCIATO,ABBIATE MINACCIATO,ABBIANO MINACCIATO
MINACCIARE,TO THREATEN,TRAPASSATO CONGIUNTIVO,AVESSI MINACCIATO,AVESSI MINACCIATO,AVESSE MINACCIATO,AVESSIMO MINACCIATO,AVESTE MINACCIATO,AVESSERO MINACCIATO
MINACCIARE,TO THREATEN,PRESENTE CONDIZIONALE,MINACCEREI,MINACCERESTI,MINACCEREBBE,MINACCEREMMO,MINACCERESTE,MINACCEREBBERO
MINACCIARE,TO THREATEN,PASSATO CONDIZIONALE,AVREI MINACCIATO,AVRESTI MINACCIATO,AVREBBE MINACCIATO,AVREMMO MINACCIATO,AVRESTE MINACCIATO,AVREBBERO MINACCIATO
MINACCIARE,TO THREATEN,IMPERATIVO,,MINACCIA,MINACCI,MINACCIAMO,MINACCIATE,MINACCINO
GUADAGNARE,TO EARN,PRESENTE,GUADAGNO,GUADAGNI,GUADAGNA,GUADAGNIAMO,GUADAGNATE,GUADAGNANO
GUADAGNARE,TO EARN,IMPERFETTO,GUADAGNAVO,GUADAGNAVI,GUADAGNAVA,GUADAGNAVAMO,GUADAGNAVATE,GUADAGNAVANO
GUADAGNARE,TO EARN,PASSATO REMOTO,GUADAGNAI,GUADAGNASTI,GUADAGNÒ,GUADAGNAMMO,GUADAGNASTE,GUADAGNARONO
GUADAGNARE,TO EARN,FUTURO SEMPLICE,GUADAGNERÒ,GUADAGNERAI,GUADAGNERÀ,GUADAGNEREMO,GUADAGNERETE,GUADAGNERANNO
GUADAGNARE,TO EARN,PASSATO PROSSIMO,HO GUADAGNATO,HAI GUADAGNATO,HA GUADAGNATO,ABBIAMO GUADAGNATO,AVETE GUADAGNATO,HANNO GUADAGNATO
GUADAGNARE,TO EARN,TRAPASSATO PROSSIMO,AVEVO GUADAGNATO,AVEVI GUADAGNATO,AVEVA GUADAGNATO,AVEVAMO GUADAGNATO,AVEVATE GUADAGNATO,AVEVANO GUADAGNATO
GUADAGNARE,TO EARN,TRAPASSATO REMOTO,EBBI GUADAGNATO,AVESTI GUADAGNATO,EBBE GUADAGNATO,AVEMMO GUADAGNATO,AVESTE GUADAGNATO,EBBERO GUADAGNATO
GUADAGNARE,TO EARN,FUTURO ANTERIORE,AVRÒ GUADAGNATO,AVRAI GUADAGNATO,AVRÀ GUADAGNATO,AVREMO GUADAGNATO,AVRETE GUADAGNATO,AVRANNO GUADAGNATO
GUADAGNARE,TO EARN,PRESENTE CONGIUNTIVO,GUADAGNI,GUADAGNI,GUADAGNI,GUADAGNIAMO,GUADAGNIATE,GUADAGNINO
GUADAGNARE,TO EARN,IMPERFETTO CONGIUNTIVO,GUADAGNASSI,GUADAGNASSI,GUADAGNASSE,GUADAGNASSIMO,GUADAGNASTE,GUADAGNASSERO
GUADAGNARE,TO EARN,PASSATO CONGIUNTIVO,ABBIA GUADAGNATO,ABBIA GUADAGNATO,ABBIA GUADAGNATO,ABBIAMO GUADAGNATO,ABBIATE GUADAGNATO,ABBIANO GUADAGNATO
GUADAGNARE,TO EARN,TRAPASSATO CONGIUNTIVO,AVESSI GUADAGNATO,AVESSI GUADAGNATO,AVESSE GUADAGNATO,AVESSIMO GUADAGNATO,AVESTE GUADAGNATO,AVESSERO GUADAGNATO
GUADAGNARE,TO EARN,PRESENTE CONDIZIONALE,GUADAGNEREI,GUADAGNERESTI,GUADAGNEREBBE,GUADAGNEREMMO,GUADAGNERESTE,GUADAGNEREBBERO
GUADAGNARE,TO EARN,PASSATO CONDIZIONALE,AVREI GUADAGNATO,AVRESTI GUADAGNATO,AVREBBE GUADAGNATO,AVREMMO GUADAGNATO,AVRESTE GUADAGNATO,AVREBBERO GUADAGNATO
GUADAGNARE,TO EARN,IMPERATIVO,,GUADAGNA,GUADAGNI,GUADAGNIAMO,GUADAGNATE,GUADAGNINO
DISCUTERE,TO DISCUSS,PRESENTE,DISCUTO,DISCUTI,DISCUTE,DISCUTIAMO,DISCUTETE,DISCUTONO
DISCUTERE,TO DISCUSS,IMPERFETTO,DISCUTEVO,DISCUTEVI,DISCUTEVA,DISCUTEVAMO,DISCUTEVATE,DISCUTEVANO
DISCUTERE,TO DISCUSS,PASSATO REMOTO,DISCUSSI,DISCUTESTI,DISCUSSE,DISCUTEMMO,DISCUTESTE,DISCUSSERO
DISCUTERE,TO DISCUSS,FUTURO SEMPLICE,DISCUTERÒ,DISCUTERAI,DISCUTERÀ,DISCUTEREMO,DISCUTERETE,DISCUTERANNO
DISCUTERE,TO DISCUSS,PASSATO PROSSIMO,HO DISCUSSO,HAI DISCUSSO,HA DISCUSSO,ABBIAMO DISCUSSO,AVETE DISCUSSO,HANNO DISCUSSO
DISCUTERE,TO DISCUSS,TRAPASSATO PROSSIMO,AVEVO DISCUSSO,AVEVI DISCUSSO,AVEVA DISCUSSO,AVEVAMO DISCUSSO,AVEVATE DISCUSSO,AVEVANO DISCUSSO
DISCUTERE,TO DISCUSS,TRAPASSATO REMOTO,EBBI DISCUSSO,AVESTI DISCUSSO,EBBE DISCUSSO,AVEMMO DISCUSSO,AVESTE DISCUSSO,EBBERO DISCUSSO
DISCUTERE,TO DISCUSS,FUTURO ANTERIORE,AVRÒ DISCUSSO,AVRAI DISCUSSO,AVRÀ DISCUSSO,AVREMO DISCUSSO,AVRETE DISCUSSO,AVRANNO DISCUSSO
DISCUTERE,TO DISCUSS,PRESENTE CONGIUNTIVO,DISCUTA,DISCUTA,DISCUTA,DISCUTIAMO,DISCUTIATE,DISCUTANO
DISCUTERE,TO DISCUSS,IMPERFETTO CONGIUNTIVO,DISCUTESSI,DISCUTESSI,DISCUTESSE,DISCUTESSIMO,DISCUTESTE,DISCUTESSERO
DISCUTERE,TO DISCUSS,PASSATO CONGIUNTIVO,ABBIA DISCUSSO,ABBIA DISCUSSO,ABBIA DISCUSSO,ABBIAMO DISCUSSO,ABBIATE DISCUSSO,ABBIANO DISCUSSO
DISCUTERE,TO DISCUSS,TRAPASSATO CONGIUNTIVO,AVESSI DISCUSSO,AVESSI DISCUSSO,AVESSE DISCUSSO,AVESSIMO DISCUSSO,AVESTE DISCUSSO,AVESSERO DISCUSSO
DISCUTERE,TO DISCUSS,PRESENTE CONDIZIONALE,DISCUTEREI,DISCUTERESTI,DISCUTEREBBE,DISCUTEREMMO,DISCUTERESTE,DISCUTEREBBERO
DISCUTERE,TO DISCUSS,PASSATO CONDIZIONALE,AVREI DISCUSSO,AVRESTI DISCUSSO,AVREBBE DISCUSSO,AVREMMO DISCUSSO,AVRESTE DISCUSSO,AVREBBERO DISCUSSO
DISCUTERE,TO DISCUSS,IMPERATIVO,,DISCUTI,DISCUTA,DISCUTIAMO,DISCUTETE,DISCUTANO
DESIDERARE,"TO WISH, TO DESIRE",PRESENTE,DESIDERO,DESIDERI,DESIDERA,DESIDERIAMO,DESIDERATE,DESIDERANO
DESIDERARE,"TO WISH, TO DESIRE",IMPERFETTO,DESIDERAVO,DESIDERAVI,DESIDERAVA,DESIDERAVAMO,DESIDERAVATE,DESIDERAVANO
DESIDERARE,"TO WISH, TO DESIRE",PASSATO REMOTO,DESIDERAI,DESIDERASTI,DESIDERÒ,DESIDERAMMO,DESIDERASTE,DESIDERARONO
DESIDERARE,"TO WISH, TO DESIRE",FUTURO SEMPLICE,DESIDERERÒ,DESIDERERAI,DESIDERERÀ,DESIDEREREMO,DESIDERERETE,DESIDERERANNO
DESIDERARE,"TO WISH, TO DESIRE",PASSATO PROSSIMO,HO DESIDERATO,HAI DESIDERATO,HA DESIDERATO,ABBIAMO DESIDERATO,AVETE DESIDERATO,HANNO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",TRAPASSATO PROSSIMO,AVEVO DESIDERATO,AVEVI DESIDERATO,AVEVA DESIDERATO,AVEVAMO DESIDERATO,AVEVATE DESIDERATO,AVEVANO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",TRAPASSATO REMOTO,EBBI DESIDERATO,AVESTI DESIDERATO,EBBE DESIDERATO,AVEMMO DESIDERATO,AVESTE DESIDERATO,EBBERO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",FUTURO ANTERIORE,AVRÒ DESIDERATO,AVRAI DESIDERATO,AVRÀ DESIDERATO,AVREMO DESIDERATO,AVRETE DESIDERATO,AVRANNO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",PRESENTE CONGIUNTIVO,DESIDERI,DESIDERI,DESIDERI,DESIDERIAMO,DESIDERIATE,DESIDERINO
DESIDERARE,"TO WISH, TO DESIRE",IMPERFETTO CONGIUNTIVO,DESIDERASSI,DESIDERASSI,DESIDERASSE,DESIDERASSIMO,DESIDERASTE,DESIDERASSERO
DESIDERARE,"TO WISH, TO DESIRE",PASSATO CONGIUNTIVO,ABBIA DESIDERATO,ABBIA DESIDERATO,ABBIA DESIDERATO,ABBIAMO DESIDERATO,ABBIATE DESIDERATO,ABBIANO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",TRAPASSATO CONGIUNTIVO,AVESSI DESIDERATO,AVESSI DESIDERATO,AVESSE DESIDERATO,AVESSIMO DESIDERATO,AVESTE DESIDERATO,AVESSERO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",PRESENTE CONDIZIONALE,DESIDEREREI,DESIDERERESTI,DESIDEREREBBE,DESIDEREREMMO,DESIDERERESTE,DESIDEREREBBERO
DESIDERARE,"TO WISH, TO DESIRE",PASSATO CONDIZIONALE,AVREI DESIDERATO,AVRESTI DESIDERATO,AVREBBE DESIDERATO,AVREMMO DESIDERATO,AVRESTE DESIDERATO,AVREBBERO DESIDERATO
DESIDERARE,"TO WISH, TO DESIRE",IMPERATIVO,,DESIDERA,DESIDERI,DESIDERIAMO,DESIDERATE,DESIDERINO
TRADIRE,TO BETRAY,PRESENTE,TRADISCO,TRADISCI,TRADISCE,TRADIAMO,TRADITE,TRADISCONO
TRADIRE,TO BETRAY,IMPERFETTO,TRADIVO,TRADIVI,TRADIVA,TRADIVAMO,TRADIVATE,TRADIVANO
TRADIRE,TO BETRAY,PASSATO REMOTO,TRADII,TRADISTI,TRADÌ,TRADIMMO,TRADISTE,TRADIRONO
TRADIRE,TO BETRAY,FUTURO SEMPLICE,TRADIRÒ,TRADIRAI,TRADIRÀ,TRADIREMO,TRADIRETE,TRADIRANNO
TRADIRE,TO BETRAY,PASSATO PROSSIMO,HO TRADITO,HAI TRADITO,HA TRADITO,ABBIAMO TRADITO,AVETE TRADITO,HANNO TRADITO
TRADIRE,TO BETRAY,TRAPASSATO PROSSIMO,AVEVO TRADITO,AVEVI TRADITO,AVEVA TRADITO,AVEVAMO TRADITO,AVEVATE TRADITO,AVEVANO TRADITO
TRADIRE,TO BETRAY,TRAPASSATO REMOTO,EBBI TRADITO,AVESTI TRADITO,EBBE TRADITO,AVEMMO TRADITO,AVESTE TRADITO,EBBERO TRADITO
TRADIRE,TO BETRAY,FUTURO ANTERIORE,AVRÒ TRADITO,AVRAI TRADITO,AVRÀ TRADITO,AVREMO TRADITO,AVRETE TRADITO,AVRANNO TRADITO
TRADIRE,TO BETRAY,PRESENTE CONGIUNTIVO,TRADISCA,TRADISCA,TRADISCA,TRADIAMO,TRADIATE,TRADISCANO
TRADIRE,TO BETRAY,IMPERFETTO CONGIUNTIVO,TRADISSI,TRADISSI,TRADISSE,TRADISSIMO,TRADISTE,TRADISSERO
TRADIRE,TO BETRAY,PASSATO CONGIUNTIVO,ABBIA TRADITO,ABBIA TRADITO,ABBIA TRADITO,ABBIAMO TRADITO,ABBIATE TRADITO,ABBIANO TRADITO
TRADIRE,TO BETRAY,TRAPASSATO CONGIUNTIVO,AVESSI TRADITO,AVESSI TRADITO,AVESSE TRADITO,AVESSIMO TRADITO,AVESTE TRADITO,AVESSERO TRADITO
TRADIRE,TO BETRAY,PRESENTE CONDIZIONALE,TRADIREI,TRADIRESTI,TRADIREBBE,TRADIREMMO,TRADIRESTE,TRADIREBBERO
TRADIRE,TO BETRAY,PASSATO CONDIZIONALE,AVREI TRADITO,AVRESTI TRADITO,AVREBBE TRADITO,AVREMMO TRADITO,AVRESTE TRADITO,AVREBBERO TRADITO
TRADIRE,TO BETRAY,IMPERATIVO,,TRADISCI,TRADISCA,TRADIAMO,TRADITE,TRADISCANO
FESTEGGIARE,TO CELEBRATE,PRESENTE,FESTEGGIO,FESTEGGI,FESTEGGIA,FESTEGGIAMO,FESTEGGIATE,FESTEGGIANO
FESTEGGIARE,TO CELEBRATE,IMPERFETTO,FESTEGGIAVO,FESTEGGIAVI,FESTEGGIAVA,FESTEGGIAVAMO,FESTEGGIAVATE,FESTEGGIAVANO
FESTEGGIARE,TO CELEBRATE,PASSATO REMOTO,FESTEGGIAI,FESTEGGIASTI,FESTEGGIÒ,FESTEGGIAMMO,FESTEGGIASTE,FESTEGGIARONO
FESTEGGIARE,TO CELEBRATE,FUTURO SEMPLICE,FESTEGGERÒ,FESTEGGERAI,FESTEGGERÀ,FESTEGGEREMO,FESTEGGERETE,FESTEGGERANNO
FESTEGGIARE,TO CELEBRATE,PASSATO PROSSIMO,HO FESTEGGIATO,HAI FESTEGGIATO,HA FESTEGGIATO,ABBIAMO FESTEGGIATO,AVETE FESTEGGIATO,HANNO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,TRAPASSATO PROSSIMO,AVEVO FESTEGGIATO,AVEVI FESTEGGIATO,AVEVA FESTEGGIATO,AVEVAMO FESTEGGIATO,AVEVATE FESTEGGIATO,AVEVANO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,TRAPASSATO REMOTO,EBBI FESTEGGIATO,AVESTI FESTEGGIATO,EBBE FESTEGGIATO,AVEMMO FESTEGGIATO,AVESTE FESTEGGIATO,EBBERO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,FUTURO ANTERIORE,AVRÒ FESTEGGIATO,AVRAI FESTEGGIATO,AVRÀ FESTEGGIATO,AVREMO FESTEGGIATO,AVRETE FESTEGGIATO,AVRANNO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,PRESENTE CONGIUNTIVO,FESTEGGI,FESTEGGI,FESTEGGI,FESTEGGIAMO,FESTEGGIATE,FESTEGGINO
FESTEGGIARE,TO CELEBRATE,IMPERFETTO CONGIUNTIVO,FESTEGGIASSI,FESTEGGIASSI,FESTEGGIASSE,FESTEGGIASSIMO,FESTEGGIASTE,FESTEGGIASSERO
FESTEGGIARE,TO CELEBRATE,PASSATO CONGIUNTIVO,ABBIA FESTEGGIATO,ABBIA FESTEGGIATO,ABBIA FESTEGGIATO,ABBIAMO FESTEGGIATO,ABBIATE FESTEGGIATO,ABBIANO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,TRAPASSATO CONGIUNTIVO,AVESSI FESTEGGIATO,AVESSI FESTEGGIATO,AVESSE FESTEGGIATO,AVESSIMO FESTEGGIATO,AVESTE FESTEGGIATO,AVESSERO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,PRESENTE CONDIZIONALE,FESTEGGEREI,FESTEGGERESTI,FESTEGGEREBBE,FESTEGGEREMMO,FESTEGGERESTE,FESTEGGEREBBERO
FESTEGGIARE,TO CELEBRATE,PASSATO CONDIZIONALE,AVREI FESTEGGIATO,AVRESTI FESTEGGIATO,AVREBBE FESTEGGIATO,AVREMMO FESTEGGIATO,AVRESTE FESTEGGIATO,AVREBBERO FESTEGGIATO
FESTEGGIARE,TO CELEBRATE,IMPERATIVO,,FESTEGGIA,FESTEGGI,FESTEGGIAMO,FESTEGGIATE,FESTEGGINO
RIMANERE,"TO REMAIN, TO GET PREGNANT",PRESENTE,RIMANGO,RIMANI,RIMANE,RIMANIAMO,RIMANETE,RIMANGONO
RIMANERE,"TO REMAIN, TO GET PREGNANT",IMPERFETTO,RIMANEVO,RIMANEVI,RIMANEVA,RIMANEVAMO,RIMANEVATE,RIMANEVANO
RIMANERE,"TO REMAIN, TO GET PREGNANT",PASSATO REMOTO,RIMASI,RIMANESTI,RIMASE,RIMANEMMO,RIMANESTE,RIMASERO
RIMANERE,"TO REMAIN, TO GET PREGNANT",FUTURO SEMPLICE,RIMARRÒ,RIMARRAI,RIMARRÀ,RIMARREMO,RIMARRETE,RIMARRANNO
RIMANERE,"TO REMAIN, TO GET PREGNANT",PASSATO PROSSIMO,SONO RIMASTO/A,SEI RIMASTO/A,È RIMASTO/A,SIAMO RIMASTI/E,SIETE RIMASTI/E,SONO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",TRAPASSATO PROSSIMO,ERO RIMASTO/A,ERI RIMASTO/A,ERA RIMASTO/A,ERAVAMO RIMASTI/E,ERAVATE RIMASTI/E,ERANO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",TRAPASSATO REMOTO,FUI RIMASTO/A,FOSTI RIMASTO/A,FU RIMASTO/A,FUMMO RIMASTI/E,FOSTE RIMASTI/E,FURONO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",FUTURO ANTERIORE,SARÒ RIMASTO/A,SARAI RIMASTO/A,SARÀ RIMASTO/A,SAREMO RIMASTI/E,SARETE RIMASTI/E,SARANNO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",PRESENTE CONGIUNTIVO,RIMANGA,RIMANGA,RIMANGA,RIMANIAMO,RIMANIATE,RIMANGANO
RIMANERE,"TO REMAIN, TO GET PREGNANT",IMPERFETTO CONGIUNTIVO,RIMANESSI,RIMANESSI,RIMANESSE,RIMANESSIMO,RIMANESTE,RIMANESSERO
RIMANERE,"TO REMAIN, TO GET PREGNANT",PASSATO CONGIUNTIVO,SIA RIMASTO/A,SIA RIMASTO/A,SIA RIMASTO/A,SIAMO RIMASTI/E,SIATE RIMASTI/E,SIANO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",TRAPASSATO CONGIUNTIVO,FOSSI RIMASTO/A,FOSSI RIMASTO/A,FOSSE RIMASTO/A,FOSSIMO RIMASTI/E,FOSTE RIMASTI/E,FOSSERO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",PRESENTE CONDIZIONALE,RIMARREI,RIMARRESTI,RIMARREBBE,RIMARREMMO,RIMARRESTE,RIMARREBBERO
RIMANERE,"TO REMAIN, TO GET PREGNANT",PASSATO CONDIZIONALE,SAREI RIMASTO/A,SARESTI RIMASTO/A,SAREBBE RIMASTO/A,SAREMMO RIMASTI/E,SARESTE RIMASTI/E,SAREBBERO RIMASTI/E
RIMANERE,"TO REMAIN, TO GET PREGNANT",IMPERATIVO,,RIMANI,RIMANGA,RIMANIAMO,RIMANETE,RIMANGANO
FINGERE,TO PRETEND,PRESENTE,FINGO,FINGI,FINGE,FINGIAMO,FINGETE,FINGONO
FINGERE,TO PRETEND,IMPERFETTO,FINGEVO,FINGEVI,FINGEVA,FINGEVAMO,FINGEVATE,FINGEVANO
FINGERE,TO PRETEND,PASSATO REMOTO,FINSI,FINGESTI,FINSE,FINGEMMO,FINGESTE,FINSERO
FINGERE,TO PRETEND,FUTURO SEMPLICE,FINGERÒ,FINGERAI,FINGERÀ,FINGEREMO,FINGERETE,FINGERANNO
FINGERE,TO PRETEND,PASSATO PROSSIMO,HO FINTO,HAI FINTO,HA FINTO,ABBIAMO FINTO,AVETE FINTO,HANNO FINTO
FINGERE,TO PRETEND,TRAPASSATO PROSSIMO,AVEVO FINTO,AVEVI FINTO,AVEVA FINTO,AVEVAMO FINTO,AVEVATE FINTO,AVEVANO FINTO
FINGERE,TO PRETEND,TRAPASSATO REMOTO,EBBI FINTO,AVESTI FINTO,EBBE FINTO,AVEMMO FINTO,AVESTE FINTO,EBBERO FINTO
FINGERE,TO PRETEND,FUTURO ANTERIORE,AVRÒ FINTO,AVRAI FINTO,AVRÀ FINTO,AVREMO FINTO,AVRETE FINTO,AVRANNO FINTO
FINGERE,TO PRETEND,PRESENTE CONGIUNTIVO,FINGA,FINGA,FINGA,FINGIAMO,FINGIATE,FINGANO
FINGERE,TO PRETEND,IMPERFETTO CONGIUNTIVO,FINGESSI,FINGESSI,FINGESSE,FINGESSIMO,FINGESTE,FINGESSERO
FINGERE,TO PRETEND,PASSATO CONGIUNTIVO,ABBIA FINTO,ABBIA FINTO,ABBIA FINTO,ABBIAMO FINTO,ABBIATE FINTO,ABBIANO FINTO
FINGERE,TO PRETEND,TRAPASSATO CONGIUNTIVO,AVESSI FINTO,AVESSI FINTO,AVESSE FINTO,AVESSIMO FINTO,AVESTE FINTO,AVESSERO FINTO
FINGERE,TO PRETEND,PRESENTE CONDIZIONALE,FINGEREI,FINGERESTI,FINGEREBBE,FINGEREMMO,FINGERESTE,FINGEREBBERO
FINGERE,TO PRETEND,PASSATO CONDIZIONALE,AVREI FINTO,AVRESTI FINTO,AVREBBE FINTO,AVREMMO FINTO,AVRESTE FINTO,AVREBBERO FINTO
FINGERE,TO PRETEND,IMPERATIVO,,FINGI,FINGA,FINGIAMO,FINGETE,FINGANO
PIANTARE,TO PLANT,PRESENTE,PIANTO,PIANTI,PIANTA,PIANTIAMO,PIANTATE,PIANTANO
PIANTARE,TO PLANT,IMPERFETTO,PIANTAVO,PIANTAVI,PIANTAVA,PIANTAVAMO,PIANTAVATE,PIANTAVANO
PIANTARE,TO PLANT,PASSATO REMOTO,PIANTAI,PIANTASTI,PIANTÒ,PIANTAMMO,PIANTASTE,PIANTARONO
PIANTARE,TO PLANT,FUTURO SEMPLICE,PIANTERÒ,PIANTERAI,PIANTERÀ,PIANTEREMO,PIANTERETE,PIANTERANNO
PIANTARE,TO PLANT,PASSATO PROSSIMO,HO PIANTATO,HAI PIANTATO,HA PIANTATO,ABBIAMO PIANTATO,AVETE PIANTATO,HANNO PIANTATO
PIANTARE,TO PLANT,TRAPASSATO PROSSIMO,AVEVO PIANTATO,AVEVI PIANTATO,AVEVA PIANTATO,AVEVAMO PIANTATO,AVEVATE PIANTATO,AVEVANO PIANTATO
PIANTARE,TO PLANT,TRAPASSATO REMOTO,EBBI PIANTATO,AVESTI PIANTATO,EBBE PIANTATO,AVEMMO PIANTATO,AVESTE PIANTATO,EBBERO PIANTATO
PIANTARE,TO PLANT,FUTURO ANTERIORE,AVRÒ PIANTATO,AVRAI PIANTATO,AVRÀ PIANTATO,AVREMO PIANTATO,AVRETE PIANTATO,AVRANNO PIANTATO
PIANTARE,TO PLANT,PRESENTE CONGIUNTIVO,PIANTI,PIANTI,PIANTI,PIANTIAMO,PIANTIATE,PIANTINO
PIANTARE,TO PLANT,IMPERFETTO CONGIUNTIVO,PIANTASSI,PIANTASSI,PIANTASSE,PIANTASSIMO,PIANTASTE,PIANTASSERO
PIANTARE,TO PLANT,PASSATO CONGIUNTIVO,ABBIA PIANTATO,ABBIA PIANTATO,ABBIA PIANTATO,ABBIAMO PIANTATO,ABBIATE PIANTATO,ABBIANO PIANTATO
PIANTARE,TO PLANT,TRAPASSATO CONGIUNTIVO,AVESSI PIANTATO,AVESSI PIANTATO,AVESSE PIANTATO,AVESSIMO PIANTATO,AVESTE PIANTATO,AVESSERO PIANTATO
PIANTARE,TO PLANT,PRESENTE CONDIZIONALE,PIANTEREI,PIANTERESTI,PIANTEREBBE,PIANTEREMMO,PIANTERESTE,PIANTEREBBERO
